 Вася        320           2            5                    2          0      31,00 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       8,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0       9,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      10,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      11,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      12,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
       Имя       Очки  Очки жизни  Размер поля       Количество мин     Минуты    Секунды 
     bodya          0           3            5                    2          0      13,00 
